product_id,date,store_id,current_stock,daily_demand,lead_time_days,supplier_reliability_score,promotion_active,weather_impact,stockout_risk
P1000,01-01-2024,S7,213,114,5,72,No,Medium,No
P1001,02-01-2024,S20,152,87,7,84,No,High,Yes
P1002,03-01-2024,S15,209,62,10,61,No,Low,No
P1003,04-01-2024,S11,400,103,10,61,No,Low,No
P1004,05-01-2024,S8,60,114,9,75,No,Medium,No
P1005,06-01-2024,S7,267,108,13,68,No,Medium,No
P1006,07-01-2024,S19,261,60,7,87,No,Medium,No
P1007,08-01-2024,S11,217,32,5,72,No,Low,Yes
P1008,09-01-2024,S11,282,5,10,94,No,Medium,No
P1009,10-01-2024,S4,135,46,10,72,Yes,High,No
P1010,11-01-2024,S8,466,86,10,90,No,Low,Yes
P1011,12-01-2024,S3,379,52,6,80,No,Medium,No
P1012,13-01-2024,S2,361,44,11,91,No,High,Yes
P1013,14-01-2024,S12,448,101,12,93,Yes,High,No
P1014,15-01-2024,S6,440,67,3,67,No,Medium,Yes
P1015,16-01-2024,S2,92,80,5,61,No,High,No
P1016,17-01-2024,S1,108,76,8,97,No,Low,No
P1017,18-01-2024,S12,240,92,1,91,No,Low,No
P1018,19-01-2024,S12,354,84,12,99,No,High,No
P1019,20-01-2024,S17,423,118,1,87,No,Low,No
P1020,21-01-2024,S10,141,8,7,96,No,Medium,No
P1021,22-01-2024,S16,290,42,14,60,No,High,No
P1022,23-01-2024,S15,431,112,5,69,Yes,Low,No
P1023,24-01-2024,S15,236,31,14,63,Yes,Medium,Yes
P1024,25-01-2024,S19,339,13,5,94,No,Medium,No
P1025,26-01-2024,S12,311,115,1,69,No,Low,No
P1026,27-01-2024,S20,176,20,9,70,No,High,No
P1027,28-01-2024,S3,140,60,1,73,Yes,Medium,Yes
P1028,29-01-2024,S5,188,80,5,97,No,Medium,No
P1029,30-01-2024,S19,485,35,10,71,No,Medium,Yes
P1030,31-01-2024,S7,48,92,9,76,Yes,Medium,No
P1031,01-02-2024,S9,301,18,14,75,No,High,No
P1032,02-02-2024,S7,368,113,4,94,No,Low,No
P1033,03-02-2024,S18,189,29,13,61,No,Low,No
P1034,04-02-2024,S4,135,38,8,70,Yes,Low,No
P1035,05-02-2024,S14,42,71,6,62,No,Medium,Yes
P1036,06-02-2024,S18,403,28,11,88,Yes,High,Yes
P1037,07-02-2024,S9,379,110,3,77,Yes,Low,No
P1038,08-02-2024,S2,352,77,4,79,Yes,High,No
P1039,09-02-2024,S20,89,30,2,73,No,Low,No
P1040,10-02-2024,S15,294,24,1,93,Yes,Medium,No
P1041,11-02-2024,S7,340,68,13,90,No,Low,No
P1042,12-02-2024,S12,244,108,14,99,Yes,Medium,No
P1043,13-02-2024,S8,432,14,8,77,Yes,Medium,No
P1044,14-02-2024,S15,191,87,1,89,No,Low,No
P1045,15-02-2024,S3,317,71,14,84,Yes,High,No
P1046,16-02-2024,S14,105,28,13,78,No,Medium,No
P1047,17-02-2024,S17,362,9,11,67,Yes,High,No
